source	time	heading	story	url
BioSpace	1549862085	Artificial Intelligence Gaining Ground in Drug Development	It's not exactly breaking news that biopharma companies are increasingly turning toward machine learning and artificial intelligence (AI) to improve drug ...	https://news.google.com/articles/CBMiXGh0dHBzOi8vd3d3LmJpb3NwYWNlLmNvbS9hcnRpY2xlL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWdhaW5pbmctZ3JvdW5kLWluLWRydWctZGV2ZWxvcG1lbnQv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Smithsonian.com	1549632980	Artificial Intelligence Study of Human Genome Finds Unknown Human Ancestor	Can the minds of machines teach us something new about what it means to be human? When it comes to the intricate story of our species' complex origins and ...	https://news.google.com/articles/CAIiEML3Kv1ZBAd-Y5HIbWD9N4wqFQgEKg0IACoGCAow88QGMMBbMKTDAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Entrepreneur	1549645200	Artificial Intelligence Is Changing Banking and Wall Street. Here's What to Expect in 2019.	AI is coming to your financial institution, to make trading algorithms more reliable, lower fees and personalize financial products.	https://news.google.com/articles/CBMiK2h0dHBzOi8vd3d3LmVudHJlcHJlbmV1ci5jb20vYXJ0aWNsZS8zMjc2NjDSAXhodHRwczovL3d3dy1lbnRyZXByZW5ldXItY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmVudHJlcHJlbmV1ci5jb20vYW1waHRtbC8zMjc2NjA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
MIT Technology Review	1549572780	China's military is rushing to use artificial intelligence	It's common to say that China and the US are in an “AI arms race,” as each country races to develop and commercialize deep learning and other AI technologies ...	https://news.google.com/articles/CBMib2h0dHBzOi8vd3d3LnRlY2hub2xvZ3lyZXZpZXcuY29tL3RoZS1kb3dubG9hZC82MTI5MTUvY2hpbmFzLW1pbGl0YXJ5LWlzLXJ1c2hpbmctdG8tdXNlLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
NEWS.com.au	1549841164	Home loan AI assistance: UBank’s artificial intelligence solution to loans	Digital lender UBank has partnered with an artificial intelligence company to create the world's first online home loan application assistant it says will be able to ...	https://news.google.com/articles/CBMikgFodHRwczovL3d3dy5uZXdzLmNvbS5hdS9maW5hbmNlL2J1c2luZXNzL2JhbmtpbmcvdWJhbmstbGF1bmNoZXMtd29ybGRzLWZpcnN0LWRpZ2l0YWwtaG9tZS1sb2FuLWFkdmlzZXIvbmV3cy1zdG9yeS80ZTQxNWVjOTQ0MDk5NTYwNjg2NDA5MGI0ZTkxY2VhN9IB2gFodHRwczovL2FtcC1uZXdzLWNvbS1hdS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2FtcC5uZXdzLmNvbS5hdS9maW5hbmNlL2J1c2luZXNzL2JhbmtpbmcvdWJhbmstbGF1bmNoZXMtd29ybGRzLWZpcnN0LWRpZ2l0YWwtaG9tZS1sb2FuLWFkdmlzZXIvbmV3cy1zdG9yeS80ZTQxNWVjOTQ0MDk5NTYwNjg2NDA5MGI0ZTkxY2VhNz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
TechSpective	1549809780	A Realistic Look at Where AI is Going in 2019	When companies say “AI,” they are often using it as a catch-all term for a broad selection of technologies from machine learning and predictive analytics.	https://news.google.com/articles/CBMiUmh0dHBzOi8vdGVjaHNwZWN0aXZlLm5ldC8yMDE5LzAyLzEwL2EtcmVhbGlzdGljLWxvb2stYXQtd2hlcmUtYWktaXMtZ29pbmctaW4tMjAxOS_SAZ8BaHR0cHM6Ly90ZWNoc3BlY3RpdmUtbmV0LmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvdGVjaHNwZWN0aXZlLm5ldC8yMDE5LzAyLzEwL2EtcmVhbGlzdGljLWxvb2stYXQtd2hlcmUtYWktaXMtZ29pbmctaW4tMjAxOS9hbXAvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Science Daily	1549473004	Artificial intelligence can identify microscopic marine organisms	Researchers have developed an artificial intelligence (AI) program that can automatically provide species-level identification of microscopic marine organisms.	https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnNjaWVuY2VkYWlseS5jb20vcmVsZWFzZXMvMjAxOS8wMi8xOTAyMDYxMDQ1MzUuaHRt0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1549563600	4 Ways Artificial Intelligence Will Drive Digital Transformation In Agriculture	One area many people are surprised to see changes from AI is agriculture. Here are 4 ways AI will drive digital transformation in Agriculture.	https://news.google.com/articles/CAIiEDSeKNj0NKXBSXsS7ktzjy0qFQgEKg0IACoGCAowrqkBMKBFMKGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
TIME	1549540910	Artificial Intelligence Has a Problem With Gender and Racial Bias. Here’s How to Solve It	Machines can discriminate in harmful ways. I experienced this firsthand, when I was a graduate student at MIT in 2015 and discovered that some facial analysis ...	https://news.google.com/articles/CBMiQ2h0dHA6Ly90aW1lLmNvbS81NTIwNTU4L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLXJhY2lhbC1nZW5kZXItYmlhcy_SAZUBaHR0cHM6Ly9hbXAtdGltZWluYy1uZXQuY2RuLmFtcHByb2plY3Qub3JnL3YvYW1wLnRpbWVpbmMubmV0L3RpbWUvNTUyMDU1OC9hcnRpZmljaWFsLWludGVsbGlnZW5jZS1yYWNpYWwtZ2VuZGVyLWJpYXM_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1548998820	How Artificial Intelligence Is Used To Make Beer	There are many ways artificial intelligence (AI) and machine learning can make our world more productive and effective. There are even breweries that are using ...	https://news.google.com/articles/CAIiEIpoHEkGVlAKCKhCAkz5Z5YqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Science Daily	1547712000	Measuring ability of artificial intelligence to learn is difficult	Organizations looking to benefit from the artificial intelligence (AI) revolution should be cautious about putting all their eggs in one basket, a study has found.	https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnNjaWVuY2VkYWlseS5jb20vcmVsZWFzZXMvMjAxOS8wMS8xOTAxMTcwOTI2MDQuaHRt0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1547452800	The Weaponization Of Artificial Intelligence	Introduction. Technological development has become a rat race. In the competition to lead the emerging technology race and the futuristic warfare battleground, ...	https://news.google.com/articles/CAIiEGqkzmjfuc-tvoc2PU43QkEqFQgEKg0IACoGCAowrqkBMKBFMI_CEg?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1548748800	Artificial Intelligence Has A Problem With Bias, Here's How To Tackle It	Artificial intelligence (AI) is facing a problem: Bias. As more and more decisions are being made by AIs, this is an issue that is important to us all. In this article we ...	https://news.google.com/articles/CAIiEKwayhDz3OBXdQZv6NlFLBQqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1547971200	Can Artificial Intelligence Be Biased?	The battle for decision-making authority is emerging between man and machines. As we witness the rise of algorithms in decision-making, what will be the ...	https://news.google.com/articles/CAIiEHAbG4I38kvtQlJLP67yvVsqFQgEKg0IACoGCAowrqkBMKBFMI_CEg?hl=en-IN&gl=IN&ceid=IN%3Aen
telegraphherald.com	1549780200	McCormick will use IBM artificial intelligence to develop flavors, products	McCormick & Co. Inc. plans to use artificial intelligence to create new flavors and products through a research collaboration with IBM, the spice maker said ...	https://news.google.com/articles/CBMiXmh0dHA6Ly93d3cudGVsZWdyYXBoaGVyYWxkLmNvbS9uZXdzL2J1c2luZXNzL2FydGljbGVfOGUwMWE1MTctMWM2OS01YTNlLTk3ZmItMDk5NGJjOGIyYWM5Lmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Analytics India Magazine	1548144000	What Makes India An Artificial Intelligence Specialist?	To no one's surprise, a recent survey announced that India is the 13th most advanced country the world in terms of the development of artificial intelligence ...	https://news.google.com/articles/CAIiEN-HwfyLiOxUMgQi7vx8fDUqGQgEKhAIACoHCAowiv6GCzDhmIUDMKKElgY?hl=en-IN&gl=IN&ceid=IN%3Aen
Analytics India Magazine	1549434060	How Computer Vision Became An Important Manifestation Of Artificial Intelligence	Today, top global firms are increasingly making use of computer vision across domains — from autonomous driving and retail (Amazon Go) to healthcare.	https://news.google.com/articles/CAIiEDhmwgdG419fFGEU1NfHGjIqGQgEKhAIACoHCAowiv6GCzDhmIUDMKKElgY?hl=en-IN&gl=IN&ceid=IN%3Aen
Knowledge@Wharton	1549474984	What's Behind JPMorgan Chase's Big Bet on Artificial Intelligence?	AI will help financial institutions expand banking penetration worldwide, launch new products and engage with customers more deeply, says Apoorv Saxena, ...	https://news.google.com/articles/CAIiEKYTc70Y8yVcm-GIcha0HKMqFQgEKg0IACoGCAowkpEDMOJQMKGiAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Fortune	1548144000	Artificial Intelligence Is No Hoax, It's Just Over-Hyped	This article first appeared in Data Sheet, Fortune's daily newsletter on the top tech news. To get it delivered daily to your in-box, sign up here. The World ...	https://news.google.com/articles/CBMiQ2h0dHA6Ly9mb3J0dW5lLmNvbS8yMDE5LzAxLzIyL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWh5cGUtZnVuZGluZy_SAZUBaHR0cHM6Ly9hbXAtdGltZWluYy1uZXQuY2RuLmFtcHByb2plY3Qub3JnL3YvYW1wLnRpbWVpbmMubmV0L2ZvcnR1bmUvMjAxOS8wMS8yMi9hcnRpZmljaWFsLWludGVsbGlnZW5jZS1oeXBlLWZ1bmRpbmc_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1547798400	The Incredible Ways Shell Uses Artificial Intelligence To Help Transform The Oil And Gas Giant	In this post we look at some of the innovative ways Royal Dutch Shell is using artificial intelligence to accelerate the digital transformation of the oil and gas giant.	https://news.google.com/articles/CAIiEASqsauBorH4qS3MHbWlbQsqFQgEKg0IACoGCAowrqkBMKBFMI_CEg?hl=en-IN&gl=IN&ceid=IN%3Aen
Fortune	1548144000	Artificial Intelligence: Separating the Hype from Reality	Like bees to honey, tech trends generate hype. Merely appending the word “dotcom” to a company's name drove up stock prices in the Internet's salad days.	https://news.google.com/articles/CBMiQWh0dHA6Ly9mb3J0dW5lLmNvbS8yMDE5LzAxLzIyL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWFpLXJlYWxpdHkv0gGTAWh0dHBzOi8vYW1wLXRpbWVpbmMtbmV0LmNkbi5hbXBwcm9qZWN0Lm9yZy92L2FtcC50aW1laW5jLm5ldC9mb3J0dW5lLzIwMTkvMDEvMjIvYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYWktcmVhbGl0eT9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1548662400	The Geopolitics Of Artificial Intelligence	Since the politicization of artificial intelligence is inevitable, now more than ever, each one of us should evaluate its potential impact on our respective nations— ...	https://news.google.com/articles/CAIiEPdijcr9t6TkBFkTtxp2JsIqFQgEKg0IACoGCAowrqkBMKBFMKGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
The News Minute	1549453758	Bosch to invest Rs 20 crore in Artificial Intelligence centre at IIT Madras	Global technology and services provider Bosch Group on Wednesday inaugurated the Robert Bosch Center for Data Science and Artificial Intelligence ...	https://news.google.com/articles/CAIiEDKwdG71QajCnfmUKg_zDwAqGQgEKhAIACoHCAow7pf_CjDdlfgCMNSe6gU?hl=en-IN&gl=IN&ceid=IN%3Aen
The Star Online	1549526400	White House expects to take action on 5G, artificial intelligence soon - Tech News	"The White House will take ""executive action"" in the coming weeks to make sure the United States keeps its research and development advantage in artificial ..."	https://news.google.com/articles/CAIiEMtQbb38oXNKVN5sub2XO6UqGQgEKhAIACoHCAow-N7eCjC60NYBMKKsiAM?hl=en-IN&gl=IN&ceid=IN%3Aen
Aljazeera.com	1548921600	US, China lead race for artificial intelligence patents: UN	The UN said patents for AI-based inventions have exploded in recent years, with half in history filed since 2013.	https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDE5LzAxL2NoaW5hLWxlYWQtcmFjZS1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1wYXRlbnRzLTE5MDEzMTA4MDczMjU0OC5odG1s0gG5AWh0dHBzOi8vd3d3LWFsamF6ZWVyYS1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuYWxqYXplZXJhLmNvbS9hbXAvbmV3cy8yMDE5LzAxL2NoaW5hLWxlYWQtcmFjZS1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1wYXRlbnRzLTE5MDEzMTA4MDczMjU0OC5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Science Magazine	1548144000	This artificial intelligence teaches robots to walk—by creating custom obstacle courses	Before you run hurdles, you have to learn to crawl, and before you read William Shakespeare, you need to know the alphabet. Any educator knows the ...	https://news.google.com/articles/CBMic2h0dHA6Ly93d3cuc2NpZW5jZW1hZy5vcmcvbmV3cy8yMDE5LzAxL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLXRlYWNoZXMtcm9ib3RzLXdhbGstY3JlYXRpbmctY3VzdG9tLW9ic3RhY2xlLWNvdXJzZXPSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Motley Fool	1549594080	3 Artificial Intelligence Stocks That Are Currently Cheap	Think stocks on the cutting edge of AI are expensive? Think again.	https://news.google.com/articles/CAIiELz3yuwfec5m9jkQ9jDbraMqEwgEKgwIACoFCAowgHkwoBEwwjU?hl=en-IN&gl=IN&ceid=IN%3Aen
SciTech Europa	1547798400	Opacity, neutrality, stupidity: Challenges for Artificial Intelligence algorithms	Professor Pelillo of the European Centre for Living Technology, discusses the major socio-ethical challenges for Artificial Intelligence algorithms.	https://news.google.com/articles/CBMiRmh0dHBzOi8vd3d3LnNjaXRlY2hldXJvcGEuZXUvYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYWxnb3JpdGhtcy85MjMyNC_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1547625600	13 Industries Soon To Be Revolutionized By Artificial Intelligence	Experts from Forbes Technology Council offer their predictions on which industries are about to be revolutionized by artificial intelligence (AI).	https://news.google.com/articles/CAIiEACms7JwMSQ5ZiuRg7tlVmcqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Datanami	1549297613	Exploring Artificial Intelligence at the Edge	As the adoption of artificial intelligence (AI), deep learning, and big data analytics continues to grow, it is becoming increasingly important for edge.	https://news.google.com/articles/CBMiUmh0dHBzOi8vd3d3LmRhdGFuYW1pLmNvbS8yMDE5LzAyLzA0L2V4cGxvcmluZy1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1hdC10aGUtZWRnZS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
ENGINEERING.com	1549480165	How Artificial Intelligence is Making Healthcare More Human	As anyone who has gone to the doctor knows, clear communication between doctors and their patients is essential to quality healthcare, but the communication ...	https://news.google.com/articles/CAIiEGlxirjh1DMNzE1NGYCdaboqGQgEKhAIACoHCAow85bwCjDw07cCMIb_hgM?hl=en-IN&gl=IN&ceid=IN%3Aen
Moneycontrol.com	1549034820	Budget 2019: Focus on artificial intelligence as it makes waves in healthcare, employment and M&E	The importance of artificial intelligence in India can be gauged from the fact that the impact of digital technologies on the GDP component today is 8 percent, ...	https://news.google.com/articles/CBMinQFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvYnVkZ2V0L2J1ZGdldC0yMDE5LWZvY3VzLW9uLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWFzLWl0LW1ha2VzLXdhdmVzLWluLWhlYWx0aGNhcmUtZW1wbG95bWVudC1hbmQtbWUtMzQ3NDAwMS5odG1s0gHuAWh0dHBzOi8vd3d3LW1vbmV5Y29udHJvbC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL2J1ZGdldC9idWRnZXQtMjAxOS1mb2N1cy1vbi1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1hcy1pdC1tYWtlcy13YXZlcy1pbi1oZWFsdGhjYXJlLWVtcGxveW1lbnQtYW5kLW1lLTM0NzQwMDEuaHRtbC9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Science Daily	1548835200	Most people overlook artificial intelligence despite flawless advice	A team of researchers recently discovered that most people overlook artificial intelligence despite flawless advice. AI-like systems will be an integral part of the ...	https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnNjaWVuY2VkYWlseS5jb20vcmVsZWFzZXMvMjAxOS8wMS8xOTAxMzAxNjE2NDkuaHRt0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Times Union	1549582860	IBM, SUNY Poly creating artificial intelligence center in Albany	"ALBANY — IBM and SUNY Polytechnic Institute are creating an artificial intelligence ""hardware lab"" in Albany. The facility will be part of a larger, $2 billion ..."	https://news.google.com/articles/CAIiECtulAsYF6QMuSDEFUvC3goqGQgEKhAIACoHCAowxr75CjCp6fECMOT8wwU?hl=en-IN&gl=IN&ceid=IN%3Aen
PCMag.com	1549543680	8 Ways Artificial Intelligence Is Revolutionizing Retail	Robots, smart shelves, computer vision cameras, and analytics from machine learning data models are.	https://news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LnBjbWFnLmNvbS9mZWF0dXJlLzM2NjI3OS84LXdheXMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtaXMtcmV2b2x1dGlvbml6aW5nLXJldGFpbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Diagnostic and Interventional Cardiology	1547712000	Applications for Artificial Intelligence in Cardiovascular Imaging	Artificial intelligence in medical imaging was the major buzz at RSNA 2018. The expo floor had a dedicated area just to highlight artificial intelligence software ...	https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LmRpY2FyZGlvbG9neS5jb20vYXJ0aWNsZS9hcHBsaWNhdGlvbnMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtY2FyZGlvdmFzY3VsYXItaW1hZ2luZ9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Verge	1547712000	How artificial intelligence can help us make judges less biased	As artificial intelligence moves into the courtroom, much has been written about sentencing algorithms with hidden biases. Daniel L. Chen, a researcher at both ...	https://news.google.com/articles/CAIiED9HCCh7sPrhSIrSEG7ba-UqFwgEKg4IACoGCAow3O8nMMqOBjDe2aYG?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1547625600	Artificial Intelligence Is Expected To Be The Most Impactful Technology On Commerce	Almost 60% of the 602 industry professionals surveyed by Euromonitor in September 2018 ranked the impact of artificial intelligence on business in the coming ...	https://news.google.com/articles/CAIiEIZBLldvT7VaELyb2yav7fMqFQgEKg0IACoGCAowrqkBMKBFMJGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1547452800	Healthcare Artificial Intelligence Puts On A Human Face	Can a selfie help predict your health risks? The doc.ai app helps people to answer that question by applying artificial intelligence (AI) to health records provided ...	https://news.google.com/articles/CAIiEEjvkj_0v8Axp462A8635tkqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Fortune	1548403200	Microsoft's Tech Chief Talks Artificial Intelligence, Mixed Reality, and Sod Farming	Microsoft CTO Kevin Scott talked about trends in artificial intelligence, mixed reality, and Azure cloud computing.	https://news.google.com/articles/CBMiUmh0dHA6Ly9mb3J0dW5lLmNvbS8yMDE5LzAxLzI1L21pY3Jvc29mdC1jdG8tYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtbWl4ZWQtcmVhbGl0eS_SAaQBaHR0cHM6Ly9hbXAtdGltZWluYy1uZXQuY2RuLmFtcHByb2plY3Qub3JnL3YvYW1wLnRpbWVpbmMubmV0L2ZvcnR1bmUvMjAxOS8wMS8yNS9taWNyb3NvZnQtY3RvLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLW1peGVkLXJlYWxpdHk_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1547452800	The Artificial Intelligence Gap Between Megabanks, Community Banks And Credit Unions	There is a growing gap in AI investment and utilization between large and small banks which will enable the larger ones to garner even more market share away ...	https://news.google.com/articles/CAIiEH8ws7QTiU4t03tcjtJBd0cqFQgEKg0IACoGCAowrqkBMKBFMLKAAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1548662400	What Pioneering Enterprises Are Telling Us About Artificial Intelligence	With technology, there are always pioneering companies that lead the way and learn the early lessons of what works and doesn't work. Such is the case with ...	https://news.google.com/articles/CAIiEIJVSUOveQV2pOiwCJ26YlQqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
